event_id,event_name,event_type,event_date,description
E001,中美贸易摩擦首次加征关税,外部经济冲击,2018-07-06,美国对中国商品加征关税引发市场避险情绪
E002,中美贸易摩擦升级,外部经济冲击,2019-05-10,中美贸易谈判受阻导致关税上调
E003,新冠疫情全球爆发,外部经济冲击,2020-03-11,WHO宣布新冠疫情为全球大流行
E004,俄乌冲突爆发,外部经济冲击,2022-02-24,地缘政治冲突引发全球金融市场波动
E005,美国银行业危机发酵,外部经济冲击,2023-03-10,硅谷银行倒闭引发金融市场担忧
E006,中东局势升级,外部经济冲击,2023-10-07,地缘政治冲突推升避险情绪

E101,美联储首次加息周期启动,美联储货币政策,2015-12-16,美联储结束零利率政策
E102,美联储紧急降息应对疫情,美联储货币政策,2020-03-15,疫情冲击下美联储紧急降息
E103,美联储无限量QE,美联储货币政策,2020-03-23,美联储宣布无限量资产购买
E104,美联储加息周期重启,美联储货币政策,2022-03-16,为应对通胀美联储启动加息
E105,美联储激进加息75bp,美联储货币政策,2022-06-15,单次加息幅度显著超出历史常态
E106,美联储释放降息预期,美联储货币政策,2023-12-13,政策声明释放未来宽松信号

E201,中国汇改完善中间价机制,中国国内宏观政策,2015-08-11,人民币汇率形成机制改革
E202,央行定向降准,中国国内宏观政策,2018-01-25,支持实体经济的货币政策操作
E203,稳汇率政策表态,中国国内宏观政策,2019-08-05,央行强调保持人民币汇率稳定
E204,疫情期间稳增长政策出台,中国国内宏观政策,2020-04-17,宏观政策托底经济
E205,中央经济工作会议定调,中国国内宏观政策,2021-12-10,宏观政策基调调整
E206,稳增长政策组合出台,中国国内宏观政策,2022-05-25,多项政策协同稳经济

E301,外汇风险准备金率上调,金融监管政策,2018-08-03,抑制外汇市场顺周期行为
E302,外汇风险准备金率下调,金融监管政策,2020-09-28,稳定市场预期
E303,跨境资本流动管理加强,金融监管政策,2021-05-27,防范跨境资本异常流动
E304,外汇存款准备金率上调,金融监管政策,2021-06-15,引导市场预期
E305,外汇存款准备金率下调,金融监管政策,2022-09-05,缓解人民币贬值压力
E306,加强宏观审慎调节表态,金融监管政策,2023-08-18,监管层稳定外汇市场预期

E401,美国CPI大幅超预期,市场情绪类事件,2022-06-10,通胀数据引发全球市场波动
E402,美国非农就业超预期,市场情绪类事件,2022-09-02,就业数据影响美元走势
E403,鲍威尔鹰派讲话,市场情绪类事件,2022-08-26,央行官员讲话引发市场波动
E404,美国CPI低于预期,市场情绪类事件,2023-07-12,通胀缓解提振风险偏好
E405,美国非农就业低于预期,市场情绪类事件,2023-10-06,市场调整对美元预期
E406,美联储会议纪要偏鸽,市场情绪类事件,2024-01-03,政策沟通影响市场情绪

